Empezaré empezar VMIF1S0 1
esta este DD0FS0 0.986779
opinión opinión NCFS000 1
con con SPS00 1
una uno DI0FS0 0.951575
breve breve AQ0CS0 1
introducción introducción NCFS000 1
a a SPS00 0.996023
cómo cómo PT000000 0.993927
acabé acabar VMIS1S0 1
en en SPS00 1
este este DD0MS0 0.960092
apartamento apartamento NCMS000 1
. . Fp 1

Pues_bien pues_bien RG 1
, , Fc 1
vivía vivir VMII3S0 0.65
aún aun RG 1
en en SPS00 1
pisos piso NCMP000 1
compartidos compartir VMP00PM 1
, , Fc 1
aunque aunque CC 1
ya ya RG 0.999395
no no RN 0.998134
de de SPS00 0.999984
estudiantes estudiante NCCP000 0.64273
, , Fc 1
sino sino CC 0.986453
con con SPS00 1
otra otro DI0FS0 0.803899
gente gente NCFS000 1
que que PR0CN000 0.562517
también también RG 1
trabajaba trabajar VMII3S0 0.649997
. . Fp 1

Ya ya RG 0.999395
en en SPS00 1
el el DA0MS0 1
último último AO0MS0 1
, , Fc 1
me me PP1CS000 0.89124
dijeron decir VMIS3P0 1
que que CS 0.437483
iban ir VMII3P0 1
a a SPS00 0.996023
hacer hacer VMN0000 1
obra obra NCFS000 0.991416
y y CC 0.999962
que que PR0CN000 0.562517
tendría tener VMIC3S0 0.65
que que CS 0.437483
ir ir VMN0000 1
me me PP1CS000 1
en en SPS00 1
unos uno DI0MP0 0.883987
meses mes NCMP000 0.992424
, , Fc 1
así así RG 0.998812
que que PR0CN000 0.562517
consulté consultar VMIS1S0 1
con con SPS00 1
una uno DI0FS0 0.951575
compañera compañero NCFS000 1
de de SPS00 0.999984
trabajo trabajo NCMS000 0.949029
, , Fc 1
también también RG 1
amiga amigo NCFS000 0.953125
, , Fc 1
y y CC 0.999962
me me PP1CS000 0.89124
dijo decir VMIS3S0 1
que que CS 0.437483
iba ir VMII3S0 0.635011
a a SPS00 0.996023
ver ver VMN0000 0.997382
si si CS 0.99954
encontraba encontrar VMII3S0 0.65
en en SPS00 1
el el DA0MS0 1
pueblo pueblo NCMS000 0.995495
donde donde PR000000 0.967437
ella él PP3FS000 1
vivía vivir VMII3S0 0.65
( ( Fpa 1
uno uno PI0MS000 0.969022
de de SPS00 0.999984
los el DA0MP0 0.976481
de de SPS00 1
el el DA0MS0 1
cinturón cinturón NCMS000 1
, , Fc 1
los lo PP3MPA00 0.0234632
llaman llamar VMIP3P0 1
) ) Fpt 1
. . Fp 1

Y y CC 0.999962
a a SPS00 1
el el DA0MS0 1
poco poco DI0MS0 0.124231
tiempo tiempo NCMS000 1
me me PP1CS000 0.89124
dijo decir VMIS3S0 1
que que CS 0.437483
había haber VAII1S0 0.353863
averiguado averiguar VMP00SM 1
en en SPS00 1
una uno DI0FS0 0.951575
inmobiliaria inmobiliaria NCFS000 0.492649
de de SPS00 0.999984
unos uno DI0MP0 0.883987
conocidos conocido NCMP000 0.261905
que que PR0CN000 0.562517
había haber VMII1S0 0.146137
pisos piso NCMP000 1
para para SPS00 0.999103
alquilar alquilar VMN0000 1
en en SPS00 1
un uno DI0MS0 0.987295
edificio edificio NCMS000 1
recién recién RG 1
terminado terminar VMP00SM 1
de de SPS00 0.999984
la el DA0FS0 0.972269
zona zona NCFS000 1
más más RG 1
nueva nuevo AQ0FS0 0.995283
de de SPS00 1
el el DA0MS0 1
pueblo pueblo NCMS000 0.995495
, , Fc 1
la el DA0FS0 0.972269
parte parte NCFS000 0.499183
de de SPS00 0.999984
arriba arriba RG 0.986014
, , Fc 1
y y CC 0.999962
que que PR0CN000 0.562517
acababan acabar VMII3P0 1
de de SPS00 0.999984
entregar entregar VMN0000 1
las el DA0FP0 0.970954
llaves llave NCFP000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
pisos piso NCMP000 1
ese ese DD0MS0 0.986111
mismo mismo AQ0MS0 0.968254
día día NCMS000 1
. . Fp 1

Total total AQ0CS0 0.975904
, , Fc 1
que que PR0CN000 0.562517
me me PP1CS000 0.89124
dio dar VMIS3S0 1
el el DA0MS0 1
número número NCMS000 1
de de SPS00 1
el el DA0MS0 1
chaval chaval NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
inmobiliaria inmobiliaria NCFS000 0.492649
, , Fc 1
llamé llamar VMIS1S0 1
y y CC 0.999962
quedamos quedar VMIP1P0 0.65
un uno DI0MS0 0.987295
sábado [S:??/??/??:??.??:??] W 1
( ( Fpa 1
que que PR0CN000 0.562517
era ser VSII1S0 0.491262
cuando cuando CS 0.985595
libraba librar VMII3S0 0.643878
) ) Fpt 1
, , Fc 1
para para SPS00 0.999103
ver ver VMN0000 0.997382
el el DA0MS0 1
edificio edificio NCMS000 1
y y CC 0.999962
el el DA0MS0 1
piso piso NCMS000 0.983871
. . Fp 1

Eran ser VSII3P0 0.972637
tan tan RG 1
nuevo nuevo AQ0MS0 1
que que CS 0.437483
no no RN 0.998134
había haber VMII1S0 0.146137
absolutamente absolutamente RG 1
nada nada PI0CS000 0.850279
más más RG 1
que que CS 0.437483
paredes pared NCFP000 1
, , Fc 1
puertas puerta NCFP000 1
y y CC 0.999962
escaleras escalera NCFP000 1
jejejeje jejejeje NCMS000 0.833445
. . Fp 1

Estaban estar VAII3P0 1
puestas poner VMP00PF 0.606053
las el DA0FP0 0.970954
bombillas bombilla NCFP000 1
y y CC 0.999962
farolillas farola NCFP00D 0.935517
comunes común AQ0CP0 1
, , Fc 1
claro claro RG 0.496212
, , Fc 1
pero pero CC 0.999764
sin sin SPS00 1
luz luz NCFS000 1
ninguna ninguno DI0FS0 0.729008
. . Fp 1

Sólo sólo RG 1
el el DA0MS0 1
armazón armazón NCMS000 1
de de SPS00 1
el el DA0MS0 1
edificio edificio NCMS000 1
terminado terminar VMP00SM 1
y y CC 0.999962
completado completar VMP00SM 1
. . Fp 1

Pregunté preguntar VMIS1S0 1
por por SPS00 1
garage garage NCMS000 1
, , Fc 1
pero pero CC 0.999764
por por SPS00 1
lo el DA0NS0 0.457533
visto ver VMP00SM 0.996454
( ( Fpa 1
y y CC 0.999962
así así RG 0.998812
es ser VSIP3S0 1
) ) Fpt 1
, , Fc 1
era ser VSII1S0 0.491262
uno uno PI0MS000 0.969022
de de SPS00 0.999984
estos este DD0MP0 0.998084
edificios edificio NCMP000 1
modernos moderno AQ0MP0 0.97619
en en SPS00 1
los el DA0MP0 0.976481
que que PR0CN000 0.562517
