Nos nos PP1CP000 0.935206
compramos comprar VMIP1P0 0.649988
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
hace hacer VMIP3S0 1
algo algo PI0CS000 0.900246
más más RG 1
de de SPS00 0.999984
un uno DI0MS0 0.987295
mes mes NCMS000 1
y y CC 0.999962
la el DA0FS0 0.972269
verdad verdad NCFS000 1
que que PR0CN000 0.562517
estoy estar VAIP1S0 1
encantada encantar VMP00SF 1
con con SPS00 1
ella él PP3FS000 1
. . Fp 1

A a SPS00 1
el el DA0MS0 1
principio principio NCMS000 0.992958
estaba estar VAII1S0 0.5
un uno DI0MS0 0.987295
poco poco RG 0.542435
reticente reticente AQ0CS0 1
a a SPS00 0.996023
esta este DD0FS0 0.986779
marca marca NCFS000 0.972603
, , Fc 1
porque porque CS 1
ignorante ignorante NCCS000 0.365827
de de SPS00 0.999984
mí mí PP1CSO00 1
, , Fc 1
nunca nunca RG 1
había haber VAII1S0 0.353863
escuchado escuchar VMP00SM 1
hablar hablar VMN0000 1
de de SPS00 0.999984
ella él PP3FS000 1
hasta hasta SPS00 0.957698
que que CS 0.437483
preguntando preguntar VMG0000 1
me me PP1CS000 0.89124
informaron informar VMIS3P0 1
que que CS 0.437483
es ser VSIP3S0 1
una uno DI0FS0 0.951575
marca marca NCFS000 0.972603
de de SPS00 0.999984
toda todo DI0FS0 0.982026
la el DA0FS0 0.972269
vida vida NCFS000 1
y y CC 0.999962
que que CS 0.437483
en en SPS00 1
general general AQ0CS0 0.927632
da dar VMIP3S0 0.996689
muy muy RG 1
buenos bueno AQ0MP0 1
resultados resultado NCMP000 0.991071
. . Fp 1

Lo el DA0NS0 0.457533
primero 1 AO0MS0 0.621399
que que PR0CN000 0.562517
me me PP1CS000 0.89124
llevó llevar VMIS3S0 1
a a SPS00 0.996023
escoger escoger VMN0000 1
la lo PP3FSA00 1
fue ser VSIS3S0 0.935924
su su DP3CS0 1
precio precio NCMS000 0.97619
, , Fc 1
era ser VSII1S0 0.491262
mucho mucho RG 0.702081
más más RG 1
barata barato AQ0FS0 0.382312
comparada comparar VMP00SF 1
con con SPS00 1
otras otro PI0FP000 0.265038
de de SPS00 0.999984
las el DA0FP0 0.970954
mismas mismo AQ0FP0 0.983871
características característica NCFP000 0.983871
. . Fp 1

