Os os PP2CP000 0.759259
voy ir VMIP1S0 1
a a SPS00 0.996023
hablar hablar VMN0000 1
de de SPS00 0.999984
mi mi DP1CSS 0.999101
lavadora lavadora NCFS000 0.414738
, , Fc 1
la lo PP3FSA00 0.0277039
tengo tener VMIP1S0 1
hace hacer VMIP3S0 1
10 10 Z 1
meses mes NCMP000 0.992424
, , Fc 1
por por SPS00 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
creo crear VMIP1S0 0.5
que que CS 0.437483
puedo poder VMIP1S0 1
hablar hablar VMN0000 1
con_conocimiento_de_causa con_conocimiento_de_causa RG 1
. . Fp 1

Una uno DI0FS0 0.951575
de de SPS00 0.999984
las el DA0FP0 0.970954
cosas cosa NCFP000 0.997312
buenas bueno AQ0FP0 1
que que PR0CN000 0.562517
tiene tener VMIP3S0 1
, , Fc 1
además_de además_de SPS00 1
lavar lavar VMN0000 1
muy muy RG 1
bien bien RG 0.902728
y y CC 0.999962
tener tener VMN0000 1
una uno DI0FS0 0.951575
buena bueno AQ0FS0 1
capacidad capacidad NCFS000 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
( ( Fpa 1
hasta hasta SPS00 0.957698
6 6 Z 1
kgrs kgrs NCMP000 0.750043
. . Fp 1
) ) Fpt 1
, , Fc 1
es ser VSIP3S0 1
que que CS 0.437483
su su DP3CS0 1
funcionamiento funcionamiento NCMS000 1
es ser VSIP3S0 1
muy muy RG 1
sencillo sencillo AQ0MS0 0.983871
. . Fp 1

Es ser VSIP3S0 1
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
muy muy RG 1
intuitiva intuitivo AQ0FS0 1
y y CC 0.999962
el el DA0MS0 1
cuadro cuadro NCMS000 0.953488
de de SPS00 0.999984
mandos mando NCMP000 1
es ser VSIP3S0 1
muy muy RG 1
sencillo sencillo AQ0MS0 0.983871
. . Fp 1

Consta constar VMIP3S0 0.994868
de de SPS00 0.999984
4 4 Z 1
partes parte NCFP000 0.498623
muy muy RG 1
diferenciadas diferenciar VMP00PF 1
: : Fd 1
1 1 Z 1
. . Fp 1

Teclas tecla NCFP000 0.711763
para para SPS00 0.999103
seleccionar seleccionar VMN0000 1
funciones función NCFP000 0.980769
: : Fd 1
1.1 1.1 Z 1
. . Fp 1

Prelava prelava NP00000 0.24752
. . Fp 1
activa activo AQ0FS0 0.953488
el el DA0MS0 1
prelavado prelavado NCMS000 0.308275
, , Fc 1
cómo cómo PT000000 0.993927
su su DP3CS0 1
nombre nombre NCMS000 0.991758
índica índico AQ0FS0 1
, , Fc 1
se se P00CN000 0.465639
utiliza utilizar VMIP3S0 0.994868
con con SPS00 1
prendas prenda NCFP000 0.95625
resistentes resistente AQ0CP0 0.65727
que que PR0CN000 0.562517
estén estar VASP3P0 0.909091
especialmente especialmente RG 1
sucias sucio AQ0FP0 1
, , Fc 1
la el DA0FS0 0.972269
temperatura temperatura NCFS000 1
de de SPS00 1
el el DA0MS0 1
agua agua NCCS000 0.99177
es ser VSIP3S0 1
de de SPS00 0.999984
unos uno DI0MP0 0.883987
30 30 Z 1
º º NCFS000 0.15945
C. c. NP00000 1
1.2 1.2 Z 1
. . Fp 1

Menos menos RG 1
- - Fg 1
centrigado centrigado VMP00SM 1
más más RG 1
suave suave AQ0CS0 1
. . Fp 1

Ahueca ahuecar VMIP3S0 0.994868
la el DA0FS0 0.972269
ropa ropa NCFS000 1
, , Fc 1
cuando cuando CS 0.985595
termina terminar VMIP3S0 0.994868
ésta este PD0FS000 1
queda quedar VMIP3S0 0.901709
suelta suelta NCFS000 0.544541
en en SPS00 1
el el DA0MS0 1
tambor tambor NCMS000 1
; ; Fx 1
así así RG 0.998812
se se P00CN000 0.465639
evitan evitar VMIP3P0 1
las el DA0FP0 0.970954
arrugas arruga NCFP000 0.973497
en en SPS00 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
. . Fp 1

1.3 1.3 Z 1
. . Fp 1

Extra extra NP00000 0.184242
- - Fg 1
es ser VSIP3S0 1
un uno DI0MS0 0.987295
aclarado aclarado NCMS000 0.362779
adicional adicional AQ0CS0 1
. . Fp 1

1.4 1.4 Z 1
. . Fp 1

Intensivo intensivo NP00000 0.288228
, , Fc 1
es ser VSIP3S0 1
un uno DI0MS0 0.987295
lavado lavado NCMS000 0.308275
mucho mucho RG 0.702081
más más RG 1
intensivo intensivo AQ0MS0 1
, , Fc 1
muy muy RG 1
recomendable recomendable AQ0CS0 1
con con SPS00 1
la el DA0FS0 0.972269
